Family,Genus,Species,#ospecs,spec#s,picspecs,pic#s,sacrificedCNP,Herbarium,Lab,fertile,auth,comments,,,area,mass,SLA,LA,Wood Density,,,
Fabaceae,Acacia,farnesiana,1,enquist434,enquist434,x54,offshoot,enquist434,,0,Wall.,,,,10.59,0.078,135.7692307692,5.295,,, , 
Fabaceae,Acacia,tenuiflora,1,enquist612,enquist612,x53,offshoot,,enquist612,0,Willd.,falling apart,,,11.76,0.101,116.4356435644,5.88,,, ,
Fabaceae,Acosmium,panamense,4,(3)enquist407;enquist424,enquist424,x52,(2)enquist407,enquist424,enquist407,0,(Benth.) Yakovlev,,,,19.31,0.065,297.0769230769,9.655,,, ,
Euphorbiaceae,Adelia,triloba,3,(3)enquist369,enquist369,x51,enquist369,enquist369,enquist369,0,Hemsl.,,,,26.81,0.124,216.2096774194,13.405,,,,
Opiliaceae,Agonandra,macrocarpa,2,enqusit419b;enquist435,enquist435,x50,offshoot,enquist435,enquist419,0,L.O. Williams,,,,26.98,0.358,75.3631284916,13.49,0.74,,,
Fabaceae,Albizia,adinocephala,4,enquist368;enquist233;enquist370;enquist360,enquist360,x49,enquist233;enquist368,enquist360,enquist370,0,Britton&Rose ex Record,,,,11.11,0.092,120.7608695652,5.555,,,,
Rubiaceae,Alibertia,edulis,3,enquist266;enquist501,enquist501,x48,enquist303,enquist501,enquist266,0,A.Rich.,,,,56.87,0.407,139.7297297297,28.435,,,,
Sapindaceae,Allophylus,occidentalis,1,enquist129,enquist129,x47,enquist129,,,1,Radlk.,fallen apart,,,,,,0,,,,
Fabaceae,Andira,inermis,4,(3)enquist402;enquist420,enquist402,x45,enquist402;enquist420,enquist402,enquist402,0,(W.Wright)DC.,,,,19.36,0.162,119.5061728395,9.68,,,,
Annonaceae,Annona,purpurea,1,enquist193,enquist193,x44,enquist193,,,0,Moc.&Sesse ex Dunal,fallen apart,,,,,,0,,,,
Annonaceae,Annona,reticulata,3,enquist239;enquist332;enquist293a,enquist239,x43,enquist239,enquist239,enquist332;,0,L.,,,,120.94,0.383,315.7702349869,60.47,0.57,,,
Acanthaceae,Apehlandra,deppeana,2,(2)enquist347,enquist347,x46,offshoot,enquist437,enquist437,2,Cham.&Schltdl,,,,69.25,0.462,149.8917748918,34.625,,,,
Bignoniaceae,Arrabidaea,patellifera,3,(2)enquist218;enquist237,enquist218,x42,enquist218,enquist218,enquist237,0,(Schltdl.)Sandwith,,,,57.56,0.201,286.368159204,28.78,,,,
Anacardiaceae,Astronium,graveolens,7,enquist505;enquist443;enquist670;enquist609;enquist618;enquist621;enquist600,enquist505,x41,enquist670;enquist609;enquist618;enquist621;enquist600,enquist505,enquist443,0,Jacq.,,,,49.77,0.211,235.8767772512,24.885,0.74,,,
Fabaceae,Ateleia,herbert-smithii,4,enquist660;enquist631;enquist630;enquist664,enquist631,x40,enquist630;enquist664,enquist631,enquist660,0,Pittier,,,,30.78,0.238,129.3277310924,15.39,,,,
Euphorbiaceae,Bernardia,nicaraguensis,2,(2)enquist290,enquist290,x39,offshoot,enquist290,enquist290,0,Standl. & L.O.Williams,,,,38.66,0.27,143.1851851852,19.33,,,,
Moraceae,Brosimum,alicastrum,3,(2)enquist504;enquist648,enquist504,x38,enquist648,enquist504,enquist504,0,Sw.,,,,93.25,0.985,94.6700507614,46.625,,,,
Malpighiaceae,Bunchosia,biocellata,5,enquistb27;enquist307;enquist279;enquist327;enquist289,enquist289,x37,enquistb27;enquist307;enquist279,enquist327,enquist289,0,Schltdl.,,,,62.29,0.341,182.6686217009,31.145,,,,
Burseraceae,Bursera,permollis,2,enquist406;enquist426,enquist426,x36,offshoot,enquist426,enquist406,0,Standl. & Steyerm.,,,,54.5,0.322,169.2546583851,27.25,,,,
Burseraceae,Bursera,simaruba,1,enquist659,enquist659,x35,offshoot,enquist659,,0,Sarg.,,,,50.66,0.37,136.9189189189,25.33,0.495,,,
Burseraceae,Bursera,tomentosa,1,enquist349,enqist349,x34,offshoot,enquist349,,0,Triana & Planch.,,,,8.24,0.087,94.7126436782,4.12,,,,
Malpighiaceae,Byrsonima,crassifolia,3,(2)enquist210;enquist213,enquist210,x33,enquist213,enquist210,enquist210,3,Steud.,,,,40.25,0.566,71.1130742049,20.125,,,,
Rubiaceae,Calycophyllum,candidissimum,4,enquist366;enquist627;enquist614;enquist617,enquist366,x32,enquist617;enquist627,enquist366,enquist614,1,DC.,,,,67.72,0.278,243.5971223022,33.86,0.685,,,
Capparaceae,Capparis,frondosa,2,(2)enquist239b,enquist239,x31,offshoot,enquist239,enquist239,0,Jacq.,,,,99.16,1.198,82.7712854758,49.58,,,,
Capparaceae,Capparis,indica,4,enquist638;enquist636;enquist665;enquist642,enquist636,x30,enquist665;enquist642,enquist636,enquist638,0,Druce,,,,31.87,0.735,43.3605442177,15.935,,,,
Capparaceae,Capparis,pachaca,1,nonumb,nonumb,x60,offshoot,nonumb,,0,Kunth.,,,,9.08,0.247,36.7611336032,4.54,,,,
Capparaceae,Capparis,verrucosa,1,enquist411,enquist411,x29,offshoot,enquist411,,1,Griff.,,,,29.68,0.474,62.6160337553,14.84,,,,
Salicaceae,Casearia,arguta,5,enquist247;enquist276;(2)enquist282;enquist257,enquist257,x26,enquist282;enquist276;247,enquist257,enquist282,0,H.B. & K,,,,66.5,0.31,214.5161290323,33.25,,,,
Salicaceae,Casearia,corymbosa,9,(4)enquist201;enquist147;enqusit253;enquist230;enquist153;enquist267,enquist267,x28,(4)enquist201;enquist147;enqusit253;enquist230,enquist153,enquist267,2,H.B. & K,,,,29.14,0.185,157.5135135135,14.57,,,,
Salicaceae,Casearia,praecox,5,(2)enquist242;(2)enquist359;enquist361,enquist242,x27,enquist359;enquist242;enquist361,enqusit242,enquist359,0,Griseb.,,,,29.47,0.122,241.5573770492,14.735,,,,
Salicaceae,Casearia,sylvestris,3,enquist639;enquist220;enquist283,enquist283,x25,enquist639,enquist283,enquist220,0,Sw.,,,,29.41,0.175,168.0571428571,14.705,,,,
Salicaceae,Casearia,tremula,3,(3)enquist431,enquist431,x24,enquist431,enquist431,enquist431,0,(Griseb.)Briseb. Ex C.Wright,,,,50.41,0.141,357.5177304965,25.205,,,,
Fabaceae,Cassia,emarginata,3,(2)enquist335;enquist315,enquist315,x96,enquist335,enquist315,enquist335,0,L.,,,,48.03,0.258,186.1627906977,24.015,,,,
Fabaceae,Cassia,grandis,1,nonumb,,,nonumb,,,0,L.f.,leaflet that was defoliated,,,8.45,0.108,78.2407407407,4.225,,,,
Moraceae,Castilla,elastica,3,(2)enquist343;enquist298,enquist343,x23,enquist343,enquist343,enquist298,0,Cerv.,,,,239.48,1.03,232.5048543689,119.74,,,,
Meliaceae,Cedrela,odorata,1,enquist415,enquist415,x22,offshoot,enquist415,,1,Ruiz & Pav.,,,,50.25,0.205,245.1219512195,25.125,,,,
Solanaceae,Cestrum,sp.,1,enquist278,enquist278,x21,offshoot,,enquist278,1,,joy called 279 fixed,,,20.36,0.065,313.2307692308,10.18,,,,
Moraceae,Chlorophora,tinctoria,2,enqusit613;enquist620,enquist613,x20,offshoot,enquist613,enquist620,0,(L.)Gaudich. Ex Benth. & Hook.f.,,,,47.35,0.152,311.5131578947,23.675,0.485,,,
Rubiaceae,Chomelia,spinosa,3,enquist130;enquist625;enquist626,enquist130,x19,enquist625,enquist130,enquist626,1,Jacq.,,,,24.32,0.08,304,12.16,0.72,,,
Sapotaceae,Chrysophyllum,brenesii,9,enquist296;(2)enquist350;enquist373;enquist433;enquist245;enquist330;enquist305;enquist229,enquist296,x18,enquist350;enquist373;enquist433;enquist245;enquist330;enquist305;enquist229,enquist296,enquist350,0,Cronquist,,,,13.24,0.132,100.303030303,6.62,,,,
Polygonaceae,Coccoloba,guanacastensis,2,(2)enquist381,enquist381,x17,offshoot,enquist381,enquist381,0,W.C.Burger,,,,104.18,1.178,88.4380305603,52.09,,,,
Boraginaceae,Cordia,alliodora,4,(2)enquist442;enquist250;enquist295,enquist442,x16,enquist250;enquist442,enquist442,enquist295,0,(Ruiz & Pav.) Oken,,,,20.16,0.167,120.7185628743,10.08,0.651,,,
Boraginaceae,Cordia,guanacastensis,1,enquist323,enquist323,x15,offshoot,enquist323,,1,Standl.,,,,14.54,0.108,134.6296296296,7.27,,,,
Boraginaceae,Cordia,panamensis,2,enquist312;nonumb,enquist312,x14,offshoot,nonumb,enquist312,2,L.Riley,,,,208.36,1.44,144.6944444444,104.18,,,,
Lamiaceae,Cornutia,grandifolia,3,enquist203;enquist259;enquist275,enquist203,x13,enquist259,enquist203,enquist275,0,Schauer,,,,43.54,0.257,169.4163424125,21.77,,,,
Fabaceae,Coursetia,elliptica,6,enquist212;enquist286;enquist281;enquist285;enquist238;enquist263,enquist212,x12,enquist281;enquist285;enquist238;enquist263,enquist212,enquist286,1,M.Sousa&Rudd,,,,6.1,0.025,244,3.05,,,,
Rubiaceae,Coutarea,hexandra,3,(2)enquist432;enquist291,enquist291,x11,enqusit432,enquist291,enqusit432,1,J.R.Johnston,,,,98.76,0.239,413.2217573222,49.38,,,,
Bignoniaceae,Crescentia,alata,1,enquist192,enquist192,x7,offshoot,enquist192,,0,Kunth.,,,,4.76,0.15,31.7333333333,2.38,,,,
Bignoniaceae,Crescentia,cujete,1,enqusit365,enquist365,x6,offshoot,enquist365,,0,Vell.,,,,9.89,0.137,72.1897810219,4.945,,,,
Asteraceae,Critonia,sexangularis,1,enquist374,enquist374,x9,offshoot,enquist374,,0,(Klatt) R.M.King&H.Rob,,,,123.56,0.912,135.4824561404,61.78,,,,
Euphorbiaceae,Croton,jutiapensis,1,enquist425,enquist425,x10,,enquist425,,1,Croizat,no in plot,,,,,,0,,,,
Euphorbiaceae,Croton,morifolius,7,(3)enquist200;(2)enquist333;(2)enquist242,enquist200,x8,enquist200;(2)enquist333;(2)enquist242,enquist200,enquist200,3,Willd.,,,,89.25,0.317,281.5457413249,44.625,,,,
Sapindaceae,Cupania,guatemalensis,5,enquist190;enquist634;(2)enquist349;enquist217,enquist190,x5,(2)enquist349;enquist217,enquist190,enquist634,0,Radlk.,joy called 249 should have been 349 changed,,,52.92,0.269,196.7286245353,26.46,,,,
Dilleniaceae,Curatella,americana,3,(3)enquist198,enquist198,x4,enquist198,enquist198,enquist198,3,L.,,,,138.98,1.11,125.2072072072,69.49,,,,
Bignoniaceae,Cydista,aequinoctialis,5,(4)enquist133;enquist211,enquist211,x2,(3)enquist133,enquist211,enquist133,5,Miers,,,,48.93,0.388,126.1082474227,24.465,,,,
Bignoniaceae,Cydista,diversifolia,2,enquist632;enquist627,enquist632,x3,offshoot,enquist632,enquist627,0,Miers,,,,108.37,0.79,137.1772151899,54.185,,,,
Fabaceae,Dalbergia,retusa,2,enquist225;enquist363,enquist363,x1,offshoot,enquist363,enquist225,0,Hemsl.,,,,12.75,0.175,72.8571428571,6.375,,,,
Annonaceae,Desmopsis,bibracteata,5,(3)enquist413;(1)enquist392;(1)nonumb,enquist413;nonumb,3;2,enquist413;enquist392;nonumb,enquist413,enquist413,4,Saff.,,,,60.95,0.316,192.8797468354,30.475,,,,
Ebenaceae,Diospyros,nicaraguensis,5,enquist328;enquist294;(2)enquist508;enquist337,enquist328;enquist294,5;6,(2)enquist508;enquist337;,enquist294,enquist328,0,Standl.,all in very bad shape(leaves falling off),,,55.83,0.447,124.8993288591,27.915,,,,
Fabaceae,Diospyros,robinioides,2,enquist265;enquist624,enquist264,26,enquist265;,enquist624,,0,Benth. Ex Benth. & Oerst,,,,3.98,0.04,99.5,1.99,,,,
Fabaceae,Diphysa,humilis,1,enquist428,enquist428,4,offshoot,enquist428,,0,Oerst. ex Benth. & Oerst.,,,,18.5,0.112,165.1785714286,9.25,,,,
Sapindaceae,Dipterodendron,costaricense,1,enquist249,enquist249,7,offshoot,enquist249,,0,Radlk.,could be Enquist244(sharpie on black part of news paper),,,6.07,0.028,216.7857142857,3.035,,,,
