Genus_Species,short_name,Abundance_1976,Percent_Abun_76,Rank-76,Abundance_1996,Percent_Abundance_96,Rank-96,Biomass_1976,Percent_Biomass_1976,Rank-76,Biomass_1996,Percent_Biomass_1996,Rank-96,Arch,Success ,Leaf
Ateleia herbert-smithii,Atel her,134,0.521,49,204,1.0874,28,45186.01,1.249,18,40674.97,1.1646,20,C,ML,D
Bactris guinensis,Bact gui,8,0.031,113,0,0,161,17.28,5.00E-04,145,0,0,165,U,,EG*
Bauhinia ungulata,Bauh ung,269,1.045,34,77,0.4104,49,4632.35,0.128,68,3053.09,0.0874,70,U,ES,D
Bernardia nicaraguensis,Bern nic,1,0.004,144,75,0.3998,53,3.95,1.00E-04,156,1052.24,0.0301,86,,,
Pachira quinata,Bomb qui,52,0.202,82,43,0.2292,70,26095.98,0.721,26,54077.02,1.5484,15,C,EM,D
Brosimum alicastrum,Bros ali,2,0.008,139,14,0.0746,98,22.04,6.00E-04,144,4051.58,0.116,67,C,ML,EG
Bunchosia biocellata,Bunc bio,9,0.035,110,152,0.8102,35,729.58,0.02,101,4555.43,0.1304,63,,,
Bursera simaruba,Burs sim,761,2.956,8,995,5.3036,3,213786.6,5.91,5,337625.49,9.6672,2,C,EM,D
Bursera tomentosa,Burs tom,1,0.004,145,1,0.0053,145,648.56,0.018,103,49.96,0.0014,132,,,
Byrsonima crassifolia,Byrs cra,6,0.023,118,4,0.0213,119,398.9,0.011,117,594.76,0.017,97,U,ES,D
Calycophyllum candidissimum,Caly can,290,1.127,31,520,2.7717,10,36947.44,1.021,19,86027.86,2.4632,11,C,EM,D
Capparis frondosa,Capp fro,3,0.012,130,6,0.032,110,11.85,3.00E-04,148,61.06,0.0017,130,,,
Capparis indica,Capp ind,92,0.357,62,368,1.9615,18,13594.62,0.376,49,17298.88,0.4953,32,S,ML,EG
Carica cauliflora,Cari cau,1,0.004,146,0,0,168,1.91,5.00E-05,159,0,0,172,,,
Casearia aculeata,Case acu,4,0.016,128,0,0,164,59.86,0.002,139,0,0,164,,,
Casearia arguta,Case arg,187,0.726,41,57,0.3038,60,2223.86,0.061,83,1106.84,0.0317,85,U,M,D
Casearia corymbosa,Case cor,1181,4.588,2,426,2.2707,15,9043.88,0.25,55,5578.67,0.1597,58,U,LS,D
Casearia praecox,Case pra,2,0.008,140,12,0.064,103,760.7,0.021,100,2533.5,0.0725,72,S,M,D
Casearia Spp.,Case spp,42,0.163,86,0,0,157,1273.94,0.035,89,0,0,158,,,
Casearia sylvestris,Case syl,1174,4.561,4,572,3.0489,8,14621.24,0.404,56,7012.33,0.2008,55,U,ML,EG
Castilla elastica,Cast ela,5,0.019,124,4,0.0213,120,698.78,0.019,102,443.22,0.0127,104,S,L,D
Cecropia peltata,Cecr pel,116,0.451,54,17,0.0906,95,57094.74,1.578,13,9851,0.2821,45,S,EP,D
Cedrela odorata,Cedr odo,100,0.388,59,53,0.2825,65,145123.3,4.012,6,103001.72,2.9492,9,C,M,D
Cestrum sp.,Cest spp,0,0,163,1,0.0053,150,0,0,163,4.47,0.0001,149,,,
Chomelia spinosa,Chom spi,516,2.005,16,462,2.4626,13,26725.4,0.739,24,28975.59,0.8297,24,U,M,D
Chrysophyllum brenessii,Chry bre,4,0.016,129,20,0.1066,91,519.11,0.014,110,1413.83,0.0405,81,S,M,EG
Cochlospermum vitifolium,Coch vit,315,1.224,27,150,0.7995,37,62696.95,1.733,11,82369.11,2.3585,12,S,EP,D
Combretum farinosum,Comb far,1,0.004,147,0,0,169,1.91,5.00E-05,160,0,0,173,,,
Cordia alliodora,Cord all,415,1.612,20,89,0.4744,44,48850.29,1.35,14,19585.62,0.5608,30,C,ES,D
Cordia curassavica,Cord cur,1,0.004,148,0,0,170,1.91,5.00E-05,161,0,0,174,,,
Cordia panamensis,Cord pan,500,1.942,18,262,1.3965,24,23702.87,0.655,28,16160.49,0.4627,36,S,EM,D
Cordia spp.,Cord spp,7,0.027,114,0,0,162,3032.1,0.084,78,0,0,157,S,EM,D
Cornutia grandifolia,Corn gra,81,0.315,67,29,0.1546,78,4793.57,0.133,65,854.43,0.0245,90,S,ES,D
Coursetia eliptica,Cour ell,1,0.004,149,121,0.645,39,0,0,164,155.76,0.0045,118,U,EM,D*
