ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
10409,7.90,XYLSEE,,,137,W,,,,
10410,1.50,BURSIM,,,137,W,,,,
10411,9.90,TABOCH,,,137,W,,,,
10412,1.10,CALLAT,,,137,W,,,,
10413,1.40,,,Smooth gray liana,137,W,,,,
10414,10.90,LONMIN,,,137,W,,,,
10415,1.20,TETVOL,,Corner ,137,W,,,,
10416,1.90,CALLAT,,,137,W,,,,
10417,1.80,HELBAR,,,137,W,,,,
10418,1.60,,,Smooth gray liana,137,W,,,,
10419,3.90,SPOMOM,,,137,W,,,,
10420,3.30,SPOMOM,,,137,W,,,,
10421,2.30,ALLOCC,,,137,W,,,,
10422,1.40,,10421,,137,W,,,,
10423,1.20,ACACOL,,,137,W,,,,
10424,1.40,MACUNG,,,137,W,,,,
10425,4.10,GENAME,,,137,W,,,,
10426,11.70,ALBADI,,,137,W,,,,
10427,2.10,MACUNG,,,137,W,,,,
10428,13.10,LUECAN,,,137,W,,,,
10429,2.70,MANHYM,,,137,W,,,,
10430,2.30,MANHYM,,,137,W,,,,
10431,2.70,MANHYM,,,137,W,,,,
10432,4.80,CALLAT,,,137,W,,,,
10433,1.80,MANHYM,,,137,W,,,,
10434,3.90,CALLAT,,,137,W,,,,
10435,4.90,SEMMEX,,,137,N,,,,
10436,2.30,,10435,,137,N,,,,
10437,2.60,,10435,,137,N,,,,
10438,1.70,,10435,,137,N,,,,
10439,1.80,,10435,,137,N,,,,
10440,2.00,,,Smooth gray liana,137,N,,,,
10441,2.40,MACUNG,,,137,N,,,,
10442,2.70,MACUNG,,,137,N,,,,
10443,24.80,LUECAN,,,137,N,,,,
10444,3.10,XYLSEE,,,137,N,,,,
10445,1.30,,,Smooth gray liana,137,N,,,,
10446,14.80,LONMIN,,,137,N,,,,
10447,3.10,XYLSEE,,,137,N,,,,
10448,3.50,MACUNG,,,137,N,,,,
10449,8.60,SAPPAL,,,137,N,,,,
10450,8.70,,10450,,137,N,,,,
10451,1.10,MACUNG,,,137,N,,,,
10452,1.50,MANHYM,,,137,N,,,,
10453,3.20,XYLSEE,,,137,N,,,,
10454,1.20,MANHYM,,,137,N,,,,
10455,1.80,MACUNG,,,137,N,,,,
10456,2.20,CALLAT,,,137,N,,,,
10457,7.10,BROALI,,,137,N,,,,
10458,5.20,MANCHI,,,137,N,,,,
10459,1.30,,10458,,137,N,,,,
10460,1.30,,10458,,137,N,,,,
10461,1.20,,10458,,137,N,,,,
10462,2.70,MANCHI,,,137,N,,,,
10463,6.60,LONMIN,,,137,N,,,,
10464,18.50,GUAULM,,,137,N,,,,
10465,4.80,,10464,,137,N,,,,
10466,2.40,MANHYM,,,137,N,,,,
10467,2.00,MANHYM,,,137,N,,,,
10468,1.70,MANHYM,,,137,N,,,,
10469,1.00,CALLAT,,,137,N,,,,
10470,1.10,CALLAT,,,137,N,,,,
10471,1.60,CALLAT,,,137,N,,,,
10472,4.70,CASSYL,,,137,N,,,,
10473,2.60,,10472,,137,N,,,,
10474,2.30,,10472,,137,N,,,,
10475,1.80,,10472,,137,N,,,,
10476,1.00,,10472,,137,N,,,,
10477,1.50,CALLAT,,,137,E,,,,
10478,1.20,CASSYL,,,137,E,,,,
10479,6.50,CASSYL,,,137,E,,,,
10480,1.30,,10479,,137,E,,,,
10481,2.80,MANHYM,,,137,E,,,,
10482,1.20,,,Glandular liana,137,E,,,,
10483,0.90,CALLAT,,,137,E,,,,
10484,1.60,CAPIND,,,137,E,,,,
10485,2.90,MYRFRU,,,137,E,,,,
10486,5.00,CALLAT,,,137,E,,,,
10487,2.90,,,Glandular liana,137,E,,,,
10488,4.00,OCOVER,,,137,E,,,,
10489,1.70,MACUNG,,,137,E,,,,
10490,2.20,,,"Same as 10294, voucher, bristley liana",137,E,,,,
10491,2.20,MANHYM,,,137,E,,,,
10492,12.20,LUECAN,,,137,E,,,,
10493,3.30,MANHYM,,,137,E,,,,
10494,2.60,CALLAT,,,137,E,,,,
10495,1.10,SEMMEX,,,137,E,,,,
10496,2.40,,,Bristley liana,137,E,,,,
10497,3.10,CALLAT,,,137,E,,,,
10498,1.90,MANHYM,,,137,E,,,,
10499,5.10,SWACUB,,,137,E,,,,
10500,2.30,,10499,,137,E,,,,
10501,2.60,CALLAT,,,137,E,,,,
10502,4.20,CALLAT,,,137,E,,,,
10503,26.00,EXOMEX,,,137,E,,,,
10504,1.20,MACUNG,,,137,E,,,,
10505,2.40,CALLAT,,,137,E,,,,
10506,4.40,,,Glandular liana,137,E,,,,
10507,14.70,CAPIND,,,137,E,,,,
10508,16.20,LUESPE,,,137,E,0,,,
10509,1.00,OCOVER,,,137,S,,,,
10510,1.10,,10509,,137,S,,,,
10511,1.00,,10509,,137,S,,,,
10512,6.20,CAPIND,,,137,S,,,,
10513,1.90,ROUGLA,,,137,S,,,,
10514,4.50,MACUNG,,,137,S,,,,
10515,6.70,LUESPE,,,137,S,,,,
10516,5.30,CAPIND,,,137,S,,,,
10517,1.50,,,Serjania,137,S,,,,
10518,24.80,TRICUN,,,137,S,0,,,
10519,2.10,CAPIND,,,137,S,,,,
10520,3.80,MANHYM,,,137,S,,,,
10521,2.00,TETVOL,,,137,S,,,,
10522,4.00,TRICUN,,,137,S,,,,
10523,7.40,CALLAT,,,137,S,,,,
10524,3.90,GUAGLA,,,137,S,,,,
10525,2.50,,10524,,137,S,,,,
10526,2.70,THODEC,,,137,S,,,,
10527,1.20,HELBAR,,,137,S,,,,
10528,1.30,,10527,,137,S,,,,
