ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
1,5.7,ASTGRA,,70,10.44,,,,007,W,
2,1.9,SOLHAZ,,80,8.75,,,,007,W,6/6/2019
3,8.8,SPOPUR,,97,7.99,,,,007,W,6/6/2019
4,1.3,CYDDIV,,110,9.33,Strychnos sp.,,,007,W,6/6/2019
5,2.5,SOLHAZ,,118,8.06,,,,007,W,6/6/2019
6,2.3,ARRPAT,,122,10.34,Strychnos sp.,,,007,W,6/6/2019
7,2.4,PSYPUB,,118,10.25,,,,007,W,6/6/2019
8,2.6,SOLHAZ,,118,9.86,,,,007,W,6/6/2019
9,3.6,ARRPAT,,128,8.01,,,,007,W,6/6/2019
10,2.3,ARRPAT,,126,11.78,Strychnos sp.,,,007,W,6/6/2019
11,2.1,,,130,9.59,Strychnos sp.,,,007,W,6/6/2019
12,1.4,SOLHAZ,13,126,6.72,,,,007,W,6/6/2019
13,1.8,SOLHAZ,,118,6.81,,,,007,W,6/6/2019
14,1.5,LONMIN,,126,5.19,Lonchocarpus sp. 1,,,007,W,6/6/2019
15,1.5,LONMIN,,126,10.38,Lonchocarpus sp. 1,,,007,W,6/6/2019
16,18.3,LUECAN,,126,3.51,,0,,007,W,6/6/2019
17,2.5,BYTCAT,,90,6.18,,,,007,W,6/6/2019
18,2.4,,17,86,6.27,,,,007,W,6/6/2019
19,1.5,,,106,9.21,,,,007,W,6/6/2019
20,1.8,BUNBIO,,106,9.21,,,,007,W,6/6/2019
21,1.3,,,88,6.43,,,,007,W,6/6/2019
22,2,,23,88,6.32,,,,007,W,6/6/2019
23,2.6,BYTCAT,,88,6.22,,,,007,W,6/6/2019
24,1,,25,108,6.95,,,,007,W,6/6/2019
25,2,,,108,7.21,Cydista,,,007,W,6/6/2019
26,1.8,,27,128,3.27,,,,007,W,6/6/2019
27,2.2,,,144,3.08,Cydista,,,007,W,6/6/2019
28,1.2,,,126,0.96,Lonchocarpus sp. 1,,,007,W,6/6/2019
29,1.1,BUNBIO,,44,4.19,,,,007,W,6/6/2019
30,2.3,,,94,2.16,Strychnos sp.,,,007,W,6/6/2019
31,2.6,,,74,4.06,Cydista,,,007,W,6/6/2019
32,1.1,,36,58,6.25,,,,007,W,6/6/2019
33,10.8,,36,58,6.25,,,,007,W,6/6/2019
34,2.5,,,72,2.86,Cydista,,,007,W,6/6/2019
35,9.4,,36,58,6.25,,,,007,W,6/6/2019
36,12.3,COUHEX,,58,6.25,,,,007,W,6/6/2019
37,2.6,CALCAN,,62,6.92,,,,007,W,6/6/2019
38,1.4,LONPAR,,44,7.07,Lonchocarpus sp. 1,,,007,W,6/6/2019
39,1.6,CAPIND,,60,8.94,,,,007,W,6/6/2019
40,1.7,CASCOR,,44,7.93,,,,007,W,6/6/2019
41,1.5,TABOCH,42,62,8.89,,,,007,W,6/6/2019
42,2.3,LONPAR,,62,8.89,,,,007,W,6/6/2019
43,3,LONPAR,,44,9.75,Lonchocarpus sp. 1,,,007,W,6/6/2019
44,2.2,TABOCH,42,62,8.89,,,,007,W,6/6/2019
45,3.2,CECPEL,46,54,10.28,,,,007,W,6/6/2019
46,4.5,CECPEL,,54,10.57,,,,007,W,6/6/2019
47,2.2,MACBIO,,148,11.47,,,,007,N,6/6/2019
48,2.3,LONPAR,,134,10.23,Lonchocarpus sp. 1,,,007,N,6/6/2019
49,1.2,,48,134,10.26,,,,007,N,6/6/2019
50,13,CARPAP,,140,9.63,,,,007,N,6/6/2019
51,6.3,BUNBIO,,156,11.23,,,,007,N,6/6/2019
52,5.5,CAPIND,,150,11.41,,,,007,N,6/6/2019
53,2.7,,,156,8.17,Strychnos sp.,,,007,N,6/6/2019
54,1.3,,55,162,10.18,,,,007,N,6/6/2019
55,1.5,PSYPUB,,162,9.85,,,,007,N,6/6/2019
56,1.4,FORSPI,,162,9.09,,,,007,N,6/6/2019
57,1.8,,59,188,9.09,,,,007,N,6/6/2019
58,3.5,,59,188,9.09,,,,007,N,6/6/2019
59,4.5,SEMMEX,,188,8.88,,,,007,N,6/6/2019
60,4.5,,59,,,,,,007,N,6/6/2019
61,2.9,,59,,,,,,007,N,6/6/2019
62,6.6,SOLHAZ,,162,7.37,,,,007,N,6/6/2019
63,9.6,CAPIND,,190,7.88,,,,007,N,6/6/2019
64,13.8,CARPAP,,204,9.82,,,,007,N,6/6/2019
65,13.3,CARPAP,,210,11.1,,,,007,N,6/6/2019
66,8.7,PISACU,,226,9.5,,,,007,N,6/6/2019
67,4.2,,66,226,9.8,,,,007,N,6/6/2019
68,1.5,,66,226,9.42,,,,007,N,6/6/2019
69,1.7,SPOPUR,,210,8.86,,,,007,N,6/6/2019
70,1.9,BUNBIO,,208,8.34,,,,007,N,6/6/2019
71,1.2,,70,208,8.6,,,,007,N,6/6/2019
72,12.7,,73,,,,,,007,N,6/6/2019
73,20.8,EXOMEX,,200,6.1,,,,007,N,6/6/2019
74,5.8,XYLSEE,,190,4.4,Dead/dying,,,007,N,6/6/2019
75,4,CYDDIV,,200,5.63,,,,007,N,6/6/2019
76,4.1,,,216,4.53,Cydista,,,007,N,6/6/2019
77,2.1,,78,,,,,,007,N,6/6/2019
78,2.3,XYLSEE,,214,5.83,,,,007,N,6/6/2019
79,2.1,,,226,5.78,Cydista,,,007,N,6/6/2019
80,3.2,,,208,6.45,Cydista,,,007,N,6/6/2019
81,1.2,,,214,6.58,Cydista,,,007,N,6/6/2019
82,2.2,CYDDIV,,202,8.07,,,,007,N,6/6/2019
83,1.9,HIRREC,,184,2.28,Tag on ground,,,007,N,6/6/2019
84,3.8,,,140,2.42,Cydista,,,007,N,6/6/2019
85,3.2,,84,,,,,,007,N,6/6/2019
86,2.1,,,140,3.56,Strychnos sp.,,,007,N,6/6/2019
