Plot,Line,Tag,DIS,LOC,POM,DTN,DGH,DBH,Morpho,Main Stem,Notes
SW,1,1001,0.01,R,,,1.4,,,,
SW,1,1002,0.05,RR,,,,23.5,,,
SW,1,1003,0.05,RR,,,,21.6,,,PINK BARK
SW,1,1004,0.9,C,,,1.3,,,,
SW,1,1005,2.4,C,,,1.8,,,,
SW,1,1006,3.4,R,,,1.3,,,,SPINY RINE
SW,1,1007,,RR,,,2.1,,,,
SW,1,1008,4.7,C,,,1.3,,,,
SW,1,1009,5,C,,,2.5,,,STEM OF 1011,
SW,1,1010,6.5,R,,,,1,,,ASTERACEAE
SW,1,1011,5,C,,,1.3,,,MAIN STEM,
SW,1,1012,5,C,,,1.2,,,STEM OF 1011,
SW,1,1013,8.2,L,,,,2.4,,,
SW,1,1014,6.6,,,,1.2,,,,
SW,1,1015,10.3,L,,,1.1,,,,
SW,1,1016,10.3,R,,,1.1,,,,
SW,1,1017,11.1,LL,,,,5.8,,MAIN STEM,
SW,1,1018,11.1,LL,,,,2.4,,STEM OF 1017,
SW,1,1019,12.3,R,,,,3.4,,,
SW,1,1020,12.2,L,,,1.6,,,,
SW,1,1021,14.1,L,,,1.1,,,,
SW,1,1022,16.1,R,,,,12.1,CAPPARIS,,
SW,1,1023,16.9,R,,,3.3,,,,MULTICOLORED ROOT
SW,1,1024,19.7,L,,,2.2,,,,
SW,1,1025,19.9,C,,,2.9,,,,
SW,1,1026,21,C,,,,11.6,,,
SW,1,1027,19.5,LL,,,1.1,,,,
SW,1,1028,23.1,LL,,,1.3,,,,
SW,1,1029,23,RR,,,1.2,,,,
SW,1,1030,24.1,RR,,,2,,,,
SW,1,1031,24.4,C,,,1.1,,,,
SW,1,1032,25.1,L,,,1,,,,
SW,1,1033,25.1,LL,,,1,,,,
SW,1,1034,26.1,RR,,,1.4,,,,
SW,1,1035,26.4,LL,,,1,,,,
SW,1,1036,27.3,LL,,,,1.3,,,
SW,1,1037,27.5,C,,,1.9,,,,
SW,1,1038,28,L,,,,7.7,,,
SW,1,1039,29.6,LL,,,,6.9,,MAIN STEM,
SW,1,1040,29.6,LL,,,,2.4,,STEM OF 1039,
SW,1,1041,29.6,LL,,,,1.4,,STEM OF 1039,
SW,1,1042,29.6,LL,,,,2,,STEM OF 1039,
SW,1,1043,29.6,LL,,,,1.2,,STEM OF 1039,
SW,1,1044,31.3,R,,,,1.1,,,
SW,1,1045,32.2,R,,,,2,ACACIA,,
SW,1,1046,33.1,L,,,,7,,,
SW,1,1047,33.1,L,,,,3.9,CAPPARIS,,
SW,1,1048,34.8,LL,,,1.1,,,,
SW,1,1049,35.2,RR,,,,8.5,,MAIN STEM,
SW,1,1050,35.2,RR,,,,1.2,,STEM OF 1049,
SW,1,1051,35.8,L,,,2.2,,,,
SW,1,1052,35.5,RR,,,2.4,,,,
SW,1,1053,38.2,L,,,,2.9,,MAIN STEM,
SW,1,1054,38.2,L,,,,1.7,,STEM OF 1053,
SW,1,1055,39.55,RR,,,,1.6,RUBIACEAE,,
SW,1,1056,43.9,,,,,6.3,,,
SW,1,1057,44.7,R,,,1.1,,,,
SW,1,1058,45.4,LL,,,1,,,,
SW,1,1059,46.1,L,,,1.4,,,,
SW,1,1060,44.6,R,,,1.1,,,,
SW,1,1061,44.8,LL,,,1,,,,
SW,1,1062,45.8,,,,,4.7,,MAIN STEM,
SW,1,1063,45.8,,,,,4.4,,STEM OF 1062,
SW,1,1064,45,,,,1.1,,,,
SW,1,1065,45.2,C,,,1,,,,
SW,1,1066,46.8,LL,,,1,,,,
SW,1,1067,47.8,LL,,,1,,,,
SW,1,1068,49,R,,,1.2,,,,
SW,2,1069,1.2,C,,,,2.8,,,
SW,2,1070,3,C,,,1,,,,
SW,2,1071,4,RR,,,1.8,,,,
SW,2,1072,5,C,,,1,,,,
SW,2,1073,6.1,L,,,1.2,,,,
SW,2,1074,7.8,R,,,1.2,,LIANA,,
SW,2,1075,8,R,,,2,,SAPINDACEAE,,
SW,2,1076,8.1,L,,,1.8,,,MAIN STEM,
SW,2,1077,8.1,L,,,1,,,STEM OF 1076,
SW,2,1078,8.7,RR,,,1,,LIANA,,
SW,2,1079,8.8,C,,,1.9,,,,
SW,2,1080,9.1,RR,,,1.4,,LIANA,,
SW,2,1081,9.9,R,,,12.2,,,,
SW,2,1082,9.8,R,,,1.5,,,,
SW,2,1083,10.6,R,,,1.7,,,,
SW,2,1084,10.6,C,,,2.9,,,,
SW,2,1085,11,C,,,2,,,,
SW,2,1086,11.8,RR,,,,2.3,,,
SW,2,1087,12,L,,,1.6,,,,
SW,2,1088,12.4,L,,,1.2,,,,
SW,2,1089,12.6,C,,1.1,,,,,
SW,2,1090,13,R,,,,1.3,,,
SW,2,1091,13.1,L,,,1.4,,,,
SW,2,1092,13.3,R,,,,1.2,,,
SW,2,1093,14.4,C,,,2.1,,,,
SW,2,1094,4,R,,,,3.1,,,
SW,2,1095,14.3,C,,,,3.5,,,
SW,2,1096,14.1,RR,,,1.2,,LIANA,,
SW,2,1097,14.7,L,,,1.9,,,,
SW,2,1098,15.5,C,,,,1.7,SAPINDACEAE,MAIN STEM,
SW,2,1099,18.7,R,,,,2.5,,,
SW,2,1100,15.5,R,,,,1.2,,STEM OF 1098,
SW,2,1101,19.3,L,,,,18,,MAIN STEM,
SW,2,1102,19.3,L,,,,1.5,,STEM OF 1101,
SW,2,1103,19.8,C,,,1.5,,,,
SW,2,1104,20.6,R,,,,12.6,,,
SW,2,1105,21.8,C,,,1,2.4,,,
SW,2,1106,21.8,C,,,,1.2,,,
SW,2,1107,22.6,L,,,1.8,,LIANA,,
SW,2,1108,23.4,C,,,,1.5,,,
SW,2,1109,21.2,RR,,,1.1,,,,
SW,2,1110,23.4,L,,,1.4,,,,
SW,2,1111,22.8,R,,,,2.1,,,
SW,2,1112,22.6,RR,,,,2,,,
SW,2,1113,23.6,RR,,,,1.5,,,
SW,2,1114,23.6,RR,,,1.1,,,,
SW,2,1115,24.6,LL,,,,,,,
SW,2,1116,23.6,R,,,,1.6,,,
SW,2,1117,24.9,L,,,,6.8,,,
SW,2,1118,27.9,R,,,,1.9,,,
SW,2,1119,30,R,,,,2.2,ASTRONIUM GRAVEOLENS,,
SW,2,1120,30.1,RR,,,,2.1,,,
SW,2,1121,26.5,LL,,,4.2,,BLANONLACEAE,,GIANT FALLEN  LIANA
SW,2,1122,28.5,L,,,,1.5,THORNY PALM,,
SW,2,1123,30.8,C,,,,1.1,,,
SW,2,1124,7.5,R,,,2.5,,,,
SW,2,1125,31,L,,,,1.1,,,
SW,2,1126,30.1,R,,,2.8,,,,LIANA ROOT BALE
SW,2,1127,30.8,L,,,,1.8,,,
SW,2,1128,31,C,,,,1.6,THORNY PALM,,ALMOST DEAD BOLE UNDER LOG
SW,2,1129,32.4,L,,,,2,,,
SW,2,1130,31.5,R,,,,1.6,THORNY PALM,,
SW,2,1131,31.5,C,,,,1.3,THORNY PALM,,
SW,2,1132,32.5,L,,,,2.3,THORNY PALM,,
SW,2,1133,31.2,R,,,,1.3,THORNY PALM,,
SW,2,1134,32.5,L,,,,1.5,,,
SW,2,1135,32.5,L,,,,2.3,,,
SW,2,1136,33,L,,,,2.7,THORNY PALM,,
SW,2,1137,32,L,,,,1.9,THORNY PALM,,
SW,2,1138,32.6,L,,,,2.1,THORNY PALM,,
SW,2,1139,32.7,L,,,,2.9,,,
SW,2,1140,32.8,L,,,,2,,,
SW,2,1141,33,L,,,,2.3,,,
SW,2,1142,33,L,,,,2.6,,,
SW,2,1143,33,L,,,,2.5,,,
SW,2,1144,33,L,,,,2.3,,,
SW,2,1145,33,L,,,,2.5,,,
SW,2,1146,33.2,L,,,,2.6,,,
SW,2,1147,33.4,LL,,,,2.6,,,
SW,2,1148,32.5,L,,,1.6,,,,
SW,2,1149,33.3,L,,,,1.7,,,
SW,2,1150,33.5,LL,,,,1.9,,,
SW,2,1151,33.7,LL,,,,1.6,,,
SW,2,1152,32.6,LL,,,,2.7,,,
SW,2,1153,32.6,L,,,,1.8,,,
SW,2,1154,33.7,LL,,,,2.1,,,
SW,2,1155,33.8,LL,,,,2.9,,,
SW,2,1156,32.6,L,,,,1.7,,,
SW,2,1157,33.4,LL,,,,1.9,,,
SW,2,1158,32.5,L,,,,1.5,,,
SW,2,1159,33.5,RR,,,,1.3,THORNY PALM,,
SW,2,1160,35.5,RR,,,1.9,,,,
SW,2,1161,34.5,RR,,,1.9,,,,LIANA BOLE
SW,2,1162,33.5,LL,,,1.1,,,,
SW,2,1163,33.5,LL,,,1.2,,,,
SW,2,1164,35.9,RR,,,1.3,,,,
SW,2,1165,36.3,R,,,,1.6,THORNY PALM,,
SW,2,1168,36.4,C,,,,1.7,,,
SW,2,1167,36.5,L,,,,1.8,,,
SW,2,1168,36.5,C,,,,1.8,,,
