id,y2_date,plot,line,enq,distance,location,main,species_binomial,y1_dbh,y2_dbh,y1_dgh,y2_dgh,mortality,dtn,pom,morpho,y2_notes
22029,,C,1,3639,1,R,,,,,1.6,,,,,LIANA,
22033,,C,1,3643,1.8,RR,MAIN STEM,,,,1.3,,,,,,
22032,,C,1,3642,1.8,RR,STEM OF 3643,,,,6.2,,,,,LIANA APOCYNACEAE,
22031,,C,1,3641,2,RR,MAIN STEM,,,,3.1,,,,,,
22030,,C,1,3640,2,RR,STEM OF 3641,,,,4.2,,,,,LIANA,
22036,,C,1,3646,2.2,R,,,,,15.8,,,,,,
22035,,C,1,3645,2.2,RR,,,,,1.4,,,,,LIANA,
22037,,C,1,3647,2.4,LL,,,,,47.9,,,,,LEGUME,
22040,,C,1,3650,2.7,LL,MAIN STEM,,,,1.1,,,,,APOCYNACEAE,
22039,,C,1,3649,2.7,LL,STEM OF 3650,,,,2.5,,,,,LIANA,
22041,,C,1,3651,3.2,C,,,,,1.5,,,,,LIANA,
22038,,C,1,3648,3.2,LL,,,,,4,,,,,LIANA,
22044,,C,1,3654,3.3,R,,,,,1.6,,,,,LIANA,
22043,,C,1,3653,3.7,R,MAIN STEM,,,,1.1,,,,,,
22042,,C,1,3652,3.7,R,STEM OF 3653,,,,1.4,,,,,LIANA,
22045,,C,1,3655,4.1,LL,,,2.3,,,,,,,LIANA,
22046,,C,1,3656,5.5,L,,,1,,,,,,,,
22047,,C,1,3657,7.6,LL,,,,,1,,,,,LIANA APOCYNACEAE,
22051,,C,1,3661,7.7,C,MAIN STEM,,2.6,,,,,,,,
22050,,C,1,3660,7.7,C,STEM OF 3661,,4.6,,,,,,,LAURACEAE,
22048,,C,1,3658,8,C,MAIN STEM,,,,5.4,,,,2.0 M,LIANA APOCYNACEAE,
22049,,C,1,3659,8.9,L,STEM OF 3658,,4.6,,,,,,,,
22053,,C,1,3663,9.2,R,MAIN STEM,,,,1.3,,,,,,
22052,,C,1,3662,9.2,R,STEM OF 3663,,,,8.5,,,,,LAURACEAE,
22056,,C,1,3666,9.8,R,,,1.1,,,,,,,LIANA DILLENIA,
22054,,C,1,3664,10,R,,,1.2,,,,,,,MALVACEAE,
22055,,C,1,3665,10.1,C,,,1.1,,,,,,,,
22057,,C,1,3667,11.6,L,,,,,19.2,,,,,,
22060,,C,1,3670,13.8,RR,,,,,2.4,,,,,LIANA DILLENIA,
22059,,C,1,3669,13.8,RR,,,,,3.5,,,,,LIANA,
22058,,C,1,3668,13.8,RR,,,,,3.2,,,,,LIANA,
22071,,C,1,3686,14.7,LL,STEM OF 3676,,,,1,,,,,,
22070,,C,1,3685,14.7,LL,STEM OF 3676,,,,1.2,,,,,,
22069,,C,1,3684,14.7,LL,STEM OF 3676,,,,1.1,,,,,,
22068,,C,1,3683,14.7,LL,STEM OF 3676,,,,2,,,,,,
22067,,C,1,3682,14.7,LL,STEM OF 3676,,,,1.4,,,,,,
22066,,C,1,3681,14.7,LL,STEM OF 3676,,,,1.7,,,,,,
22065,,C,1,3680,14.7,LL,STEM OF 3676,,,,3.2,,,,,,
22064,,C,1,3679,14.7,LL,STEM OF 3676,,,,1.6,,,,,,
22063,,C,1,3678,14.7,LL,STEM OF 3676,,,,1.8,,,,,,
22062,,C,1,3676,14.7,LL,MAIN STEM,,,,3.2,,,,,LIANA DILLENIA,
22061,,C,1,3671,15,L,,,,,1.5,,,,,LIANA,
22077,,C,1,3692,15.3,RR,,,,,1.2,,,,,LIANA,
22076,,C,1,3691,15.4,RR,STEM OF 3687,,,,3.4,,,,,,
22074,,C,1,3689,15.4,RR,STEM OF 3687,,,,4,,,,,,
22073,,C,1,3688,15.4,RR,STEM OF 3687,,,,2.1,,,,,,
22072,,C,1,3687,15.4,RR,MAIN STEM,,,,4.2,,,,,LAURACEAE,
22075,,C,1,3690,15.4,RR,STEM OF 3687,,,,4,,,,,,
22078,,C,1,3693,16,RR,,,,,1.6,,,,,LIANA,
22080,,C,1,3695,16.5,RR,,,1,,,,,,,LIANA,
22079,,C,1,3694,16.5,RR,,,1,,,,,,,LIANA,
22081,,C,1,3696,16.7,RR,,,,,1,,,,,LIANA,
22082,,C,1,3697,16.9,RR,,,1,,,,,,,,
22083,,C,1,3698,18.9,RR,,,1,,,,,,,,
22084,,C,1,3699,19.2,RR,,,1,,,,,,,,
22089,,C,1,3704,19.6,R,STEM OF 3702,,,,1.1,,,,,,
22088,,C,1,3703,19.6,R,STEM OF 3702,,,,1.1,,,,,,
22087,,C,1,3702,19.6,R,MAIN STEM,,,,1.1,,,,,,
22086,,C,1,3701,19.8,R,,,1.5,,,,,,,,
22085,,C,1,3700,20,RR,,,3,,,,,,,CAPPARIS,
22094,,C,1,3709,20.3,R,STEM OF 3706,,,,1.1,,,,,,
22093,,C,1,3708,20.3,R,STEM OF 3706,,,,1.3,,,,,,
22092,,C,1,3707,20.3,R,STEM OF 3706,,,,1,,,,,,
22091,,C,1,3706,20.3,R,MAIN STEM,,,,1.4,,,,,DILLENIA,
22090,,C,1,3705,20.3,R,,,,,2.9,,,,,LIANA,
22096,,C,1,3711,20.6,RR,,,,,1,,,,,LIANA DILLENIA,
22095,,C,1,3710,20.6,RR,,,,,1,,,,,LIANA DILLENIA,
22097,,C,1,3712,22.6,R,,,1,,,,,,,,
22099,,C,1,3714,22.7,RR,,,1.2,,,,,,,,
22098,,C,1,3713,22.7,RR,,,1.4,,,,,,,,
22100,,C,1,3715,23,C,,,,,3.2,,,,,LIANA,
22101,,C,1,3716,24,RR,,,,,1.5,,,,,LIANA,
